"gene_symbol"	"mean_rank"	"mean_rankSC"	"mean_rankBulk"	"direction_foldchange"
"Sh2d4a"	193.586956521739	171.071428571429	203.4375	-1
"Svip"	193.663043478261	240.25	173.28125	-1
"Arpc3"	193.836956521739	148.75	213.5625	1
"Fign"	194.239130434783	187.785714285714	197.0625	-1
"Slain2"	194.239130434783	147.357142857143	214.75	-1
"Fuca1"	194.25	186.035714285714	197.84375	1
"Trpm4"	194.673913043478	255.285714285714	168.15625	-1
"Gtf2a1"	194.847826086957	199.071428571429	193	-1
"Ganab"	195.173913043478	210.428571428571	188.5	-1
"Vamp4"	195.391304347826	237.785714285714	176.84375	-1
"Znrf3"	195.478260869565	237.071428571429	177.28125	-1
"Arhgef5"	195.760869565217	210.857142857143	189.15625	1
"Glg1"	195.869565217391	179.642857142857	202.96875	-1
"Snx6"	196	192.142857142857	197.6875	-1
"Osbpl5"	196.434782608696	198.142857142857	195.6875	-1
"Spire1"	196.978260869565	204.642857142857	193.625	-1
"Mtus1"	197.358695652174	220.107142857143	187.40625	-1
"Filip1l"	197.847826086957	184.071428571429	203.875	1
"Neo1"	198.086956521739	218.5	189.15625	-1
"Camkk2"	198.20652173913	242.535714285714	178.8125	1
"Pdlim7"	199.532608695652	188.607142857143	204.3125	1
"Kremen1"	199.586956521739	164.928571428571	214.75	-1
"Ppm1k"	199.804347826087	219.642857142857	191.125	-1
"Arhgap12"	199.826086956522	240.357142857143	182.09375	-1
"Gaa"	200.021739130435	190	204.40625	-1
"Tgfa"	200.086956521739	220.285714285714	191.25	-1
"Hnrnpul2"	200.195652173913	241.071428571429	182.3125	-1
"Lman2l"	200.260869565217	234.428571428571	185.3125	-1
"Lrch1"	201.152173913043	204.142857142857	199.84375	-1
"Abr"	201.978260869565	204.5	200.875	-1
"Fbxo3"	202.130434782609	213.285714285714	197.25	-1
"Megf9"	202.152173913043	238.714285714286	186.15625	-1
"Rb1cc1"	202.217391304348	183.285714285714	210.5	-1
"Prkag2"	202.510869565217	229.607142857143	190.65625	1
"Scrn3"	202.934782608696	245.5	184.3125	-1
"Zfp664"	203.021739130435	227.142857142857	192.46875	-1
"Aftph"	203.152173913043	204.285714285714	202.65625	-1
"Gabpb2"	203.586956521739	208.571428571429	201.40625	-1
"Cd59a"	203.608695652174	193.571428571429	208	-1
"Rora"	203.826086956522	171.5	217.96875	-1
"Btrc"	204.108695652174	191	209.84375	-1
"Zfp395"	204.358695652174	258.678571428571	180.59375	-1
"Stx16"	204.521739130435	192	210	-1
"Rbm34"	204.717391304348	238.857142857143	189.78125	-1
"Snx13"	204.891304347826	209.714285714286	202.78125	-1
"Birc3"	205.065217391304	238.071428571429	190.625	1
"Fryl"	205.478260869565	153.357142857143	228.28125	-1
"Atp8a1"	205.597826086957	203.107142857143	206.6875	-1
"Fbxo9"	206.021739130435	190.928571428571	212.625	-1
"Mat2a"	206.239130434783	144.571428571429	233.21875	-1
"Ccdc117"	206.336956521739	254.821428571429	185.125	-1
"Uqcc1"	206.717391304348	211	204.84375	-1
"Srgap2"	207.108695652174	187.214285714286	215.8125	-1
"Sgpl1"	207.369565217391	231.642857142857	196.75	1
"Hipk3"	207.804347826087	231.285714285714	197.53125	-1
"Rhoq"	208.54347826087	211.428571428571	207.28125	1
"Med24"	209.880434782609	164.107142857143	229.90625	-1
"Tollip"	209.978260869565	229.357142857143	201.5	-1
"Lrp6"	210.086956521739	207.214285714286	211.34375	-1
"Atxn7l3b"	210.347826086957	215	208.3125	-1
"Tbc1d4"	210.70652173913	218.821428571429	207.15625	-1
"Tmc7"	211.434782608696	219.785714285714	207.78125	-1
"Lactb"	211.554347826087	212.892857142857	210.96875	1
"Mecp2"	211.652173913043	266.714285714286	187.5625	-1
"Spats2"	212.20652173913	236.821428571429	201.4375	1
"Kdm6a"	212.217391304348	233.357142857143	202.96875	-1
"Pgp"	212.304347826087	215.857142857143	210.75	1
"Mylip"	212.413043478261	206.285714285714	215.09375	-1
"Pcm1"	212.478260869565	239	200.875	-1
"Msl2"	212.673913043478	255.142857142857	194.09375	-1
"Il15ra"	213.065217391304	244.857142857143	199.15625	1
"Nsmce2"	213.478260869565	196.285714285714	221	1
"Tpra1"	213.804347826087	186.785714285714	225.625	1
"Eif2ak2"	214.29347826087	222.464285714286	210.71875	1
"Spop"	214.326086956522	200	220.59375	-1
"Grk5"	214.586956521739	224.071428571429	210.4375	-1
"Irak2"	214.760869565217	209.642857142857	217	1
